player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Quentin Richardson,2011,ORL,SF,30,"955,0","57,0","16,8","1,3","8,1"
Paul George,2011,IND,SG,20,"1265,0","61,0","20,7","2,4","13,0"
Lou Amundson,2011,GSW,PF,28,"691,0","46,0","15,0","0,6","11,5"
Terrence Williams,2011,HOU,SG,23,"290,0","21,0","13,8","-0,6","6,9"
Anthony Tolliver,2011,MIN,SF,25,"1362,0","65,0","21,0","3,3","13,3"
Jason Smith,2011,NOH,C,24,"1102,0","77,0","14,3","1,6","10,8"
Jason Thompson,2011,SAC,PF,24,"1748,0","75,0","23,3","2,9","13,6"
Daequan Cook,2011,OKC,SG,23,"598,0","43,0","13,9","1,6","12,8"
Jared Dudley,2011,PHO,SF,25,"2140,0","82,0","26,1","5,6","15,6"
Shannon Brown,2011,LAL,SG,25,"1568,0","82,0","19,1","3,1","13,6"
Wilson Chandler,2011,DEN,SF,23,"2401,0","72,0","33,3","3,9","14,6"
Cole Aldrich,2011,OKC,C,22,"142,0","18,0","7,9","0,2","7,0"
Gerald Henderson,2011,CHA,SG,23,"1661,0","68,0","24,4","2,4","13,2"
Keyon Dooling,2011,MIL,PG,30,"1757,0","80,0","22,0","2,9","11,3"
Ben Wallace,2011,DET,C,36,"1238,0","54,0","22,9","1,9","12,3"
Brandon Rush,2011,IND,SG,25,"1754,0","67,0","26,2","2,6","10,6"
Xavier Henry,2011,MEM,SG,19,"527,0","38,0","13,9","0,2","7,0"
Aaron Brooks,2011,PHO,PG,26,"1284,0","59,0","21,8","1,1","13,1"
Tyler Hansbrough,2011,IND,PF,25,"1535,0","70,0","21,9","3,8","16,4"
Chuck Hayes,2011,HOU,C,27,"2079,0","74,0","28,1","6,3","16,2"
Anthony Randolph,2011,MIN,C-PF,21,"590,0","40,0","14,8","0,5","16,2"
